feature,lld_base,lld_category,lld_description,functional,functional_description,processing,processing_description
audspec_lengthL1norm_sma_range,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,range,Output of range (max-min),['sma'],['Smoothing']
audspec_lengthL1norm_sma_maxPos,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,maxPos,"Output of position of maximum value (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
audspec_lengthL1norm_sma_minPos,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,minPos,"Output of position of minimum value (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
audspec_lengthL1norm_sma_quartile1,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,quartile1,Output of quartile1 (0.25),['sma'],['Smoothing']
audspec_lengthL1norm_sma_quartile2,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,quartile2,Output of quartile2 (0.50),['sma'],['Smoothing']
audspec_lengthL1norm_sma_quartile3,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,quartile3,Output of quartile3 (0.75),['sma'],['Smoothing']
audspec_lengthL1norm_sma_iqr1-2,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,iqr1-2,Output of inter-quartile range 1-2 (quartile2-quartile1),['sma'],['Smoothing']
audspec_lengthL1norm_sma_iqr2-3,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,iqr2-3,Output of inter-quartile range 2-3 (quartile3-quartile2),['sma'],['Smoothing']
audspec_lengthL1norm_sma_iqr1-3,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,iqr1-3,Output of inter-quartile range 1-3 (quartile3-quartile1),['sma'],['Smoothing']
audspec_lengthL1norm_sma_percentile1.0,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,percentile1.0,"Output of first percentile, duplicate entries are not checked for and not removed",['sma'],['Smoothing']
audspec_lengthL1norm_sma_percentile99.0,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,percentile99.0,"Output of ninety-ninth percentile, duplicate entries are not checked for and not removed",['sma'],['Smoothing']
audspec_lengthL1norm_sma_pctlrange0-1,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,pctlrange0-1,Output of inter percentile range from 0-1,['sma'],['Smoothing']
audspec_lengthL1norm_sma_stddev,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,stddev,Output of standard deviation,['sma'],['Smoothing']
audspec_lengthL1norm_sma_skewness,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,skewness,Output of skewness,['sma'],['Smoothing']
audspec_lengthL1norm_sma_kurtosis,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,kurtosis,Output of kurtosis,['sma'],['Smoothing']
audspec_lengthL1norm_sma_meanSegLen,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,meanSegLen,"Output of the mean segment length (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
audspec_lengthL1norm_sma_maxSegLen,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,maxSegLen,"Output of the maximum segment length (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
audspec_lengthL1norm_sma_minSegLen,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,minSegLen,"Output of the minimum segment length (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
audspec_lengthL1norm_sma_segLenStddev,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,segLenStddev,"Output of the standard deviation of the segment lengths (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
audspec_lengthL1norm_sma_upleveltime25,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,upleveltime25,Compute time where signal is above 0.25*range,['sma'],['Smoothing']
audspec_lengthL1norm_sma_upleveltime50,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,upleveltime50,Compute time where signal is above 0.50*range,['sma'],['Smoothing']
audspec_lengthL1norm_sma_upleveltime75,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,upleveltime75,Compute time where signal is above 0.75*range,['sma'],['Smoothing']
audspec_lengthL1norm_sma_upleveltime90,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,upleveltime90,Compute time where signal is above 0.90*range,['sma'],['Smoothing']
audspec_lengthL1norm_sma_risetime,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,risetime,Compute time where signal is rising,['sma'],['Smoothing']
audspec_lengthL1norm_sma_leftctime,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,leftctime,Compute time where signal has left curvature,['sma'],['Smoothing']
audspec_lengthL1norm_sma_lpgain,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,lpgain,Output of LP gain,['sma'],['Smoothing']
audspec_lengthL1norm_sma_lpc0,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,lpc0,Output of LP coefficient 0,['sma'],['Smoothing']
audspec_lengthL1norm_sma_lpc1,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,lpc1,Output of LP coefficient 1,['sma'],['Smoothing']
audspec_lengthL1norm_sma_lpc2,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,lpc2,Output of LP coefficient 2,['sma'],['Smoothing']
audspec_lengthL1norm_sma_lpc3,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,lpc3,Output of LP coefficient 3,['sma'],['Smoothing']
audspec_lengthL1norm_sma_lpc4,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,lpc4,Output of LP coefficient 4,['sma'],['Smoothing']
audspec_lengthL1norm_sma_de_range,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,range,Output of range (max-min),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_maxPos,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,maxPos,"Output of position of maximum value (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_minPos,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,minPos,"Output of position of minimum value (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_quartile1,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,quartile1,Output of quartile1 (0.25),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_quartile2,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,quartile2,Output of quartile2 (0.50),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_quartile3,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,quartile3,Output of quartile3 (0.75),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_iqr1-2,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,iqr1-2,Output of inter-quartile range 1-2 (quartile2-quartile1),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_iqr2-3,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,iqr2-3,Output of inter-quartile range 2-3 (quartile3-quartile2),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_iqr1-3,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,iqr1-3,Output of inter-quartile range 1-3 (quartile3-quartile1),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_percentile1.0,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,percentile1.0,"Output of first percentile, duplicate entries are not checked for and not removed","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_percentile99.0,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,percentile99.0,"Output of ninety-ninth percentile, duplicate entries are not checked for and not removed","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_pctlrange0-1,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,pctlrange0-1,Output of inter percentile range from 0-1,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_stddev,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,stddev,Output of standard deviation,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_skewness,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,skewness,Output of skewness,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_kurtosis,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,kurtosis,Output of kurtosis,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_meanSegLen,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,meanSegLen,"Output of the mean segment length (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_maxSegLen,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,maxSegLen,"Output of the maximum segment length (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_minSegLen,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,minSegLen,"Output of the minimum segment length (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_segLenStddev,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,segLenStddev,"Output of the standard deviation of the segment lengths (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_upleveltime25,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,upleveltime25,Compute time where signal is above 0.25*range,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_upleveltime50,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,upleveltime50,Compute time where signal is above 0.50*range,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_upleveltime75,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,upleveltime75,Compute time where signal is above 0.75*range,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_upleveltime90,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,upleveltime90,Compute time where signal is above 0.90*range,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_risetime,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,risetime,Compute time where signal is rising,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_leftctime,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,leftctime,Compute time where signal has left curvature,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
