feature,lld_base,lld_category,lld_description,functional,functional_description,processing,processing_description
F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz,Frequency,"Fundamental frequency (pitch) expressed in semitones relative to 27.5 Hz (A0), extracted on voiced frames only via autocorrelation. The semitone scale provides a perceptually uniform pitch representation that mirrors human perception of pitch intervals.",amean,Arithmetic mean of the LLD time series over the segment.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz,Frequency,"Fundamental frequency (pitch) expressed in semitones relative to 27.5 Hz (A0), extracted on voiced frames only via autocorrelation. The semitone scale provides a perceptually uniform pitch representation that mirrors human perception of pitch intervals.",stddevNorm,"Standard deviation of the LLD time series normalized by the arithmetic mean (coefficient of variation); describes relative pitch variability.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz,Frequency,"Fundamental frequency (pitch) expressed in semitones relative to 27.5 Hz (A0), extracted on voiced frames only via autocorrelation. The semitone scale provides a perceptually uniform pitch representation that mirrors human perception of pitch intervals.",percentile20.0,20th percentile of the LLD time series over the segment.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz,Frequency,"Fundamental frequency (pitch) expressed in semitones relative to 27.5 Hz (A0), extracted on voiced frames only via autocorrelation. The semitone scale provides a perceptually uniform pitch representation that mirrors human perception of pitch intervals.",percentile50.0,50th percentile (median) of the LLD time series over the segment.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz,Frequency,"Fundamental frequency (pitch) expressed in semitones relative to 27.5 Hz (A0), extracted on voiced frames only via autocorrelation. The semitone scale provides a perceptually uniform pitch representation that mirrors human perception of pitch intervals.",percentile80.0,80th percentile of the LLD time series over the segment.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz,Frequency,"Fundamental frequency (pitch) expressed in semitones relative to 27.5 Hz (A0), extracted on voiced frames only via autocorrelation. The semitone scale provides a perceptually uniform pitch representation that mirrors human perception of pitch intervals.",pctlrange0-2,"Inter-percentile range from the 20th to the 80th percentile (percentile80 − percentile20); represents the spread of the middle 60% of the distribution. Index notation 0-2 refers to positions in the percentile set {20, 50, 80}.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz,Frequency,"Fundamental frequency (pitch) expressed in semitones relative to 27.5 Hz (A0), extracted on voiced frames only via autocorrelation. The semitone scale provides a perceptually uniform pitch representation that mirrors human perception of pitch intervals.",meanRisingSlope,Mean slope of rising contour segments of the LLD time series; reflects the average rate of pitch increase.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz,Frequency,"Fundamental frequency (pitch) expressed in semitones relative to 27.5 Hz (A0), extracted on voiced frames only via autocorrelation. The semitone scale provides a perceptually uniform pitch representation that mirrors human perception of pitch intervals.",stddevRisingSlope,Standard deviation of the slopes of rising contour segments; reflects variability in the rate of pitch increase.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz,Frequency,"Fundamental frequency (pitch) expressed in semitones relative to 27.5 Hz (A0), extracted on voiced frames only via autocorrelation. The semitone scale provides a perceptually uniform pitch representation that mirrors human perception of pitch intervals.",meanFallingSlope,Mean slope of falling contour segments of the LLD time series; reflects the average rate of pitch decrease.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,F0semitoneFrom27.5Hz,Frequency,"Fundamental frequency (pitch) expressed in semitones relative to 27.5 Hz (A0), extracted on voiced frames only via autocorrelation. The semitone scale provides a perceptually uniform pitch representation that mirrors human perception of pitch intervals.",stddevFallingSlope,Standard deviation of the slopes of falling contour segments; reflects variability in the rate of pitch decrease.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
