feature,lld_base,lld_category,lld_description,processing,processing_description,frame_selection
Loudness_sma3,Loudness,Energy/Amplitude,"Estimate of perceived loudness (in sones) derived from the auditory spectrum using a model of the human auditory system. Reflects the psychoacoustic intensity of each frame rather than raw signal energy. Computed on all frames.",sma3,3-point Hanning-window simple moving average applied to all frames.,all
alphaRatio_sma3,alphaRatio,Spectral,"Logarithmic ratio of the summed energy in the 50–1000 Hz frequency band to the summed energy in the 1000–5000 Hz band. Related to vocal effort and overall spectral tilt; computed on all frames (voiced and unvoiced).",sma3,3-point Hanning-window simple moving average applied to all frames.,all
hammarbergIndex_sma3,hammarbergIndex,Spectral,"Logarithmic ratio of the maximum spectral energy peak in the 0–2000 Hz region to the maximum energy peak in the 2000–5000 Hz region. Related to voice quality and the balance of lower-to-higher spectral energy; computed on all frames.",sma3,3-point Hanning-window simple moving average applied to all frames.,all
slope0-500_sma3,slope0-500,Spectral,"Spectral slope from 0 to 500 Hz — linear regression slope of the spectral magnitude across the 0–500 Hz frequency band. Reflects low-frequency spectral tilt; computed on all frames.",sma3,3-point Hanning-window simple moving average applied to all frames.,all
slope500-1500_sma3,slope500-1500,Spectral,"Spectral slope from 500 to 1500 Hz — linear regression slope of the spectral magnitude across the 500–1500 Hz frequency band. Reflects mid-frequency spectral tilt; computed on all frames.",sma3,3-point Hanning-window simple moving average applied to all frames.,all
spectralFlux_sma3,spectralFlux,Spectral,"Rate of change of the spectral magnitude envelope between successive frames, computed as the squared L2-norm of the frame-to-frame spectral difference normalized by the number of spectral bins. Computed on all frames.",sma3,3-point Hanning-window simple moving average applied to all frames.,all
mfcc1_sma3,mfcc1,Spectral,"First Mel-Frequency Cepstral Coefficient (MFCC 1), representing the dominant shape of the spectral envelope projected onto a mel-frequency scale. Computed on all frames.",sma3,3-point Hanning-window simple moving average applied to all frames.,all
mfcc2_sma3,mfcc2,Spectral,"Second Mel-Frequency Cepstral Coefficient (MFCC 2), representing the second-most dominant component of the spectral envelope shape on a mel-frequency scale. Computed on all frames.",sma3,3-point Hanning-window simple moving average applied to all frames.,all
mfcc3_sma3,mfcc3,Spectral,"Third Mel-Frequency Cepstral Coefficient (MFCC 3), capturing additional variation in the spectral envelope shape on a mel-frequency scale. Computed on all frames.",sma3,3-point Hanning-window simple moving average applied to all frames.,all
mfcc4_sma3,mfcc4,Spectral,"Fourth Mel-Frequency Cepstral Coefficient (MFCC 4), capturing higher-order spectral envelope variation on a mel-frequency scale. Computed on all frames.",sma3,3-point Hanning-window simple moving average applied to all frames.,all
F0semitoneFrom27.5Hz_sma3nz,F0semitoneFrom27.5Hz,Frequency,"Fundamental frequency (pitch) expressed in semitones relative to 27.5 Hz (A0), extracted via autocorrelation. The semitone scale provides a perceptually uniform pitch representation that mirrors human perception of pitch intervals. Extracted on voiced frames only (F0 > 0 Hz).",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing.",voiced
